XtID,tID,Gene_Symbol
X2802774,2802774,ANKH
X2849469,2849469,ANKH
X2831719,2831719,ANKHD1
X2831864,2831864,ANKHD1
X2831866,2831866,ANKHD1
X3012540,3012540,ANKIB1
X3349535,3349535,ANKK1
X3824178,3824178,ANKLE1
X3479302,3479302,ANKLE2
X2606741,2606741,ANKMY1
X3039731,3039731,ANKMY2
X2862380,2862380,ANKRA2
X3525679,3525679,ANKRD10
X3704717,3704717,ANKRD11
X3778252,3778252,ANKRD12
X3431376,3431376,ANKRD13A
X3716151,3716151,ANKRD13B
X2417791,2417791,ANKRD13C
X3336857,3336857,ANKRD13D
X3275611,3275611,ANKRD16
X2773023,2773023,ANKRD17
X3205834,3205834,ANKRD18A
X3167033,3167033,ANKRD18B
X3179480,3179480,ANKRD19
X3259920,3259920,ANKRD2
X3780465,3780465,ANKRD20A5
X2564447,2564447,ANKRD20B
X2565559,2565559,ANKRD23
X3817340,3817340,ANKRD24
X3282117,3282117,ANKRD26
X3858659,3858659,ANKRD27
X2664452,2664452,ANKRD28
X3801492,3801492,ANKRD29
X3242839,3242839,ANKRD30A
X3780643,3780643,ANKRD30B
X2862877,2862877,ANKRD31
X2862912,2862912,ANKRD31
X2820622,2820622,ANKRD32
X2867432,2867432,ANKRD32
X3415068,3415068,ANKRD33
X2801742,2801742,ANKRD33B
X2356158,2356158,ANKRD34A
X2356177,2356177,ANKRD34A
X2864584,2864584,ANKRD34B
X3603675,3603675,ANKRD34C
X2356273,2356273,ANKRD35
X2494886,2494886,ANKRD36
X2565902,2565902,ANKRD36B
X2754673,2754673,ANKRD37
X2565557,2565557,ANKRD39
X2565579,2565579,ANKRD39
X3762416,3762416,ANKRD40
X3342569,3342569,ANKRD42
X2828757,2828757,ANKRD43
X2593464,2593464,ANKRD44
X2444415,2444415,ANKRD45
X3146661,3146661,ANKRD46
X3345107,3345107,ANKRD49
X3876142,3876142,ANKRD5
X2784687,2784687,ANKRD50
X3457549,3457549,ANKRD52
X3960246,3960246,ANKRD54
X2857488,2857488,ANKRD55
X2774287,2774287,ANKRD56
X2916825,2916825,ANKRD6
X2916906,2916906,ANKRD6
X3779431,3779431,ANKRD62
X3020843,3020843,ANKRD7
X3580357,3580357,ANKRD9
X2904329,2904329,ANKS1A
X3467351,3467351,ANKS1B
X3678279,3678279,ANKS3
X3651672,3651672,ANKS4B
X3217361,3217361,ANKS6
X3217395,3217395,ANKS6
X2528347,2528347,ANKZF1
X2997376,2997376,ANLN
X3338293,3338293,ANO1
X2671101,2671101,ANO10
X3441542,3441542,ANO2
X3324321,3324321,ANO3
X3428333,3428333,ANO4
X3323748,3323748,ANO5
X3412568,3412568,ANO6
X2536217,2536217,ANO7
X3854376,3854376,ANO8
X3357926,3357926,ANO9
X3630912,3630912,ANP32A
X3181417,3181417,ANP32B
X2434319,2434319,ANP32E
X3638607,3638607,ANPEP
X2487082,2487082,ANTXR1
X2774971,2774971,ANTXR2
X3245107,3245107,ANTXRL
X3286975,3286975,ANUBL1
X3174816,3174816,ANXA1
X2751009,2751009,ANXA10
X3297536,3297536,ANXA11
X3627248,3627248,ANXA2
X2790109,2790109,ANXA2P1
X3167110,3167110,ANXA2P2
X2732844,2732844,ANXA3
X2487412,2487412,ANXA4
X2784027,2784027,ANXA5
X2881747,2881747,ANXA6
X3294438,3294438,ANXA7
X2358591,2358591,ANXA9
X3046062,3046062,AOAH
X2897111,2897111,AOF1
X2522247,2522247,AOX1
X2522332,2522332,AOX2P
X2522355,2522355,AOX2P
X2739755,2739755,AP1AR
X3956781,3956781,AP1B1
X3697799,3697799,AP1G1
X3557614,3557614,AP1G2
X3823625,3823625,AP1M1
X3016177,3016177,AP1S1
X4000704,4000704,AP1S2
X2601287,2601287,AP1S3
X3838886,3838886,AP2A1
X3316447,3316447,AP2A2
X3718682,3718682,AP2B1
X2655476,2655476,AP2M1
X3866302,3866302,AP2S1
X2863730,2863730,AP3B1
X3636216,3636216,AP3B2
X3845708,3845708,AP3D1
X3295032,3295032,AP3M1
X3096007,3096007,AP3M2
X2824872,2824872,AP3S1
X3607842,3607842,AP3S2
X3638660,3638660,AP3S2
X3638665,3638665,AP3S2
X2428855,2428855,AP4B1
X3593770,3593770,AP4E1
X3015241,3015241,AP4M1
X3531229,3531229,AP4S1
X3427876,3427876,APAF1
X3208765,3208765,APBA1
X3585905,3585905,APBA2
X3360826,3360826,APBB1
X3239760,3239760,APBB1IP
X2766893,2766893,APBB2
X2878368,2878368,APBB3
X2824198,2824198,APC
X3815888,3815888,APC2
X3778772,3778772,APCDD1
X2622196,2622196,APEH
X3527493,3527493,APEX1
X3978620,3978620,APEX2
X2434341,2434341,APH1A
X3597521,3597521,APH1B
X3597543,3597543,APH1B
X3327906,3327906,API5
X3369249,3369249,APIP
X2319832,2319832,APITD1
X2486851,2486851,APLF
X4021250,4021250,APLN
X3373630,3373630,APLNR
X3830961,3830961,APLP1
X3356115,3356115,APLP2
X3392986,3392986,APOA1
X2361584,2361584,APOA1BP
X2440730,2440730,APOA2
X3392957,3392957,APOA5
X2543163,2543163,APOB
X3945572,3945572,APOBEC3C
X3945585,3945585,APOBEC3D
X3945651,3945651,APOBEC3G
X2447486,2447486,APOBEC4
X3835891,3835891,APOC1
X3835923,3835923,APOC2
X3835911,3835911,APOC4
X4054204,4054204,APOD
X3835879,3835879,APOE
X3457794,3457794,APOF
X3767709,3767709,APOH
X3944404,3944404,APOL1
X3959411,3959411,APOL2
X3959350,3959350,APOL3
X3959388,3959388,APOL4
X3944273,3944273,APOL5
X3944243,3944243,APOL6
X3405515,3405515,APOLD1
X2902531,2902531,APOM
