"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"NIP30","1","cogdnotxad","rosmap","NIP30","NIP30","void","1"
"ENSG00000132603","1","cogdnotxad","rosmap","ENSG00000132603","ENSG00000132603","magenta","1.356e-05"
"ENSG00000140807","1","cogdnotxad","rosmap","ENSG00000140807","ENSG00000140807","salmon4","9.573e-06"
"ENSG00000167984","1","cogdnotxad","rosmap","ENSG00000167984","ENSG00000167984","void","1"
"ENSG00000140853","1","cogdnotxad","rosmap","ENSG00000140853","ENSG00000140853","magenta","1.356e-05"
"ENSG00000103024","1","cogdnotxad","rosmap","ENSG00000103024","ENSG00000103024","brown4","0.5351"
"ENSG00000103202","1","cogdnotxad","rosmap","ENSG00000103202","ENSG00000103202","lightcyan1","0.1708"
"ENSG00000153406","1","cogdnotxad","rosmap","ENSG00000153406","ENSG00000153406","turquoise","1"
"ENSG00000141101","1","cogdnotxad","rosmap","ENSG00000141101","ENSG00000141101","sienna3","0.005939"
"ENSG00000167207","1","cogdnotxad","rosmap","ENSG00000167207","ENSG00000167207","void","1"
"ENSG00000140939","1","cogdnotxad","rosmap","ENSG00000140939","ENSG00000140939","brown","1"
"ENSG00000103226","1","cogdnotxad","rosmap","ENSG00000103226","ENSG00000103226","steelblue","0.05112"
"ENSG00000196408","1","cogdnotxad","rosmap","ENSG00000196408","ENSG00000196408","orange","0.9852"
"N-PAC","1","cogdnotxad","rosmap","N-PAC","N-PAC","void","1"
"ENSG00000183426","1","cogdnotxad","rosmap","ENSG00000183426","ENSG00000183426","darkslateblue","0.9963"
"ENSG00000183971","1","cogdnotxad","rosmap","ENSG00000183971","ENSG00000183971","sienna3","0.005939"
"ENSG00000181019","1","cogdnotxad","rosmap","ENSG00000181019","ENSG00000181019","sienna3","0.005939"
"ENSG00000188038","1","cogdnotxad","rosmap","ENSG00000188038","ENSG00000188038","steelblue","0.05112"
"ENSG00000169189","1","cogdnotxad","rosmap","ENSG00000169189","ENSG00000169189","lightgreen","0.8457"
